ID,trueAnnotation,Ignore,Annotation
https://www.idref.fr/034184015,"['Édhessa', 'Vodhená', 'Édessa']",[],"['Édhessa', 'Vodhená', 'Édessa']"
https://www.idref.fr/050538705,['Santorin'],[],['Santorin']
https://www.idref.fr/031535666,"['Ilía', 'Élis', 'Élide', 'Êleia']",[],"['Ilía', 'Élis', 'Élide', 'Êleia']"
https://www.idref.fr/182349306,"['Episcopio', 'Tílos, Île de', 'Telos', 'Tílos', 'İlyaki', 'Piscopi', 'Τήλος']",[],"['Episcopio', 'Tílos , Île de', 'Telos', 'Tílos', 'İlyaki', 'Piscopi', 'Τήλος']"
https://www.idref.fr/123352215,"['Kastellórizo', 'Kastellorizo', 'Castellorizo']",[],"['Kastellórizo', 'Kastellorizo', 'Castellorizo']"
https://www.idref.fr/125297394,['Crète'],[],['Crète']
https://www.idref.fr/027864405,"['Cérigo', 'Cythère', 'Kuthêra', 'Kíthira']",[],"['Cérigo', 'Cythère', 'Kuthêra', 'Kíthira']"
https://www.idref.fr/080487955,"['Olynthos', 'Olynthus', 'Olynthios']",[],"['Olynthos', 'Olynthus', 'Olynthios']"
https://www.idref.fr/027400735,"['Meteora', 'Météores', 'Les Météores']",[],"['Meteora', 'Météores', 'Les Météores']"
https://www.idref.fr/029433665,['Grèce'],[],['Grèce']
https://www.idref.fr/029960096,"['Salonique', 'Thessalonique', 'Thessaloniki']",[],"['Salonique', 'Thessalonique', 'Thessaloniki']"
https://www.idref.fr/133565866,"['Monument chorégique de Lysicrate', 'Athènes', 'Lanterne de Diogène', 'Monument de Lysicrate', 'Lysicrate, Monument de']",[],"['Monument chorégique de Lysicrate', 'Athènes', 'Lanterne de Diogène', 'Monument de Lysicrate', 'Lysicrate , Monument de']"
https://www.idref.fr/029440505,"['Athènes', 'Église des Saints-Apôtres']",[],"['Athènes', 'Église des Saints-Apôtres']"
https://www.idref.fr/029622085,"['Cimetière Zei͏̈tenlik', 'Thessalonique']",[],"['Cimetière Zei͏̈tenlik', 'Thessalonique']"
https://www.idref.fr/029523524,"['Quartier des Potiers', 'Corinthe']",[],"['Quartier des Potiers', 'Corinthe']"
https://www.idref.fr/123270324,"[""Temple d'Apollon"", 'Argos']",[],"[""Temple d' Apollon"", 'Argos']"
https://www.idref.fr/160369215,"['Agora', 'Corinthe']",[],"['Agora', 'Corinthe']"
https://www.idref.fr/088729095,"['Le Pirée', 'Asclêpieion']",[],"['Le Pirée', 'Asclêpieion']"
https://www.idref.fr/167017764,"['Chlemoutsi', 'Château', 'Castle', 'Clermont', 'κάστρο', 'Χλεμούτσι']",[],"['Chlemoutsi', 'Château', 'Castle', 'Clermont', 'κάστρο', 'Χλεμούτσι']"
https://www.idref.fr/159063744,"['Cos', 'Basilica di S. Gabriele', 'Basilique de Saint Gabriel', 'Kos']",[],"['Cos', 'Basilica di S . Gabriele', 'Basilique de Saint Gabriel', 'Kos']"
https://www.idref.fr/027604535,"['Athènes', 'Acropole', 'Akropolis', ""Acropole d'Athènes""]",[],"['Athènes', 'Acropole', 'Akropolis', ""Acropole d' Athènes""]"
https://www.idref.fr/027227685,"['Grèce', 'Histoire']",[],"['Grèce', 'Histoire']"
https://www.idref.fr/027587045,"['Tombe II', 'Tombe 2', 'Vergina', 'Tombe de Philippe II', 'Tombeau de Philippe II', 'Philippe II, Tombe de', 'Tombe dite de Philippe II']",[],"['Tombe II', 'Tombe 2', 'Vergina', 'Tombe de Philippe II', 'Tombeau de Philippe II', 'Philippe II , Tombe de', 'Tombe dite de Philippe II']"
https://www.idref.fr/027434265,['Kitsos'],[],['Kitsos']
https://www.idref.fr/137030525,"[""Aqueduc d'Eupalinos"", ""Eupalinos, Tunnel d'"", 'Samos', ""Eupalinos, Aqueduc d'""]",[],"[""Aqueduc d' Eupalinos"", ""Eupalinos , Tunnel d' "", 'Samos', ""Eupalinos , Aqueduc d' ""]"
https://www.idref.fr/027630285,['Dreros'],[],['Dreros']
https://www.idref.fr/035788534,['Ida'],[],['Ida']
https://www.idref.fr/133543064,['Flórina'],[],['Flórina']
