,ID,trueAnnotation,Ignore,Annotation
913,https://www.idref.fr/192069764.rdf,"['Δήλος', 'Νεώριον', 'Neorion', 'Monument des taureaux', 'Delos', 'Néôrion', 'Monument with the bulls', 'Μνημείο των Ταύρων', 'Délos']",[],"['Δήλος', 'Νεώριον', 'Neorion', 'Monument des taureaux', 'Delos', 'Néôrion', 'Monument with the bulls', 'Μνημείο των Ταύρων', 'Délos']"
914,https://www.idref.fr/260218464.rdf,"['Δήλος', 'Hypaethral cella', 'Sékos hypèthre', 'Υπαίθριος σηκός', 'Delos', 'Délos']",[],"['Δήλος', 'Hypaethral cella', 'Sékos hypèthre', 'Υπαίθριος σηκός', 'Delos', 'Délos']"
915,https://www.idref.fr/032839065.rdf,"['El Cabezo Lucero', 'Guardamar del Segura', ""Site archéologique d'El Cabezo Lucero"", 'Cabezo Lucero']",[],"['El Cabezo Lucero', 'Guardamar del Segura', ""Site archéologique d' El Cabezo Lucero"", 'Cabezo Lucero']"
916,https://www.idref.fr/192079409.rdf,"['Δήλος', 'Delos', 'Prytaneion', 'Prytanée', 'Πρυτανείον', 'Délos']",[],"['Δήλος', 'Delos', 'Prytaneion', 'Prytanée', 'Πρυτανείον', 'Délos']"
917,https://www.idref.fr/260222569.rdf,"['Δήλος', 'Βάση του Φιλέταιρου', 'Base de Philétairos', 'Delos', 'Délos', 'Base of Philetairos']",[],"['Δήλος', 'Βάση του Φιλέταιρου', 'Base de Philétairos', 'Delos', 'Délos', 'Base of Philetairos']"
918,https://www.idref.fr/191564478.rdf,"['Δήλος', 'Base of the Colossus of the Naxians', 'Colosse des Naxiens', 'Base du Colosse des Naxiens', 'Delos', 'Ο Κολοσσός των Ναξίων', 'Délos']",[],"['Δήλος', 'Base of the Colossus of the Naxians', 'Colosse des Naxiens', 'Base du Colosse des Naxiens', 'Delos', 'Ο Κολοσσός των Ναξίων', 'Délos']"
919,https://www.idref.fr/191565202.rdf,"['Δήλος', 'Oikos des Naxiens', 'Delos', 'Délos', 'Οίκος των Ναξίων', 'Oikos of the Naxians']",[],"['Δήλος', 'Oikos des Naxiens', 'Delos', 'Délos', 'Οίκος των Ναξίων', 'Oikos of the Naxians']"
920,https://www.idref.fr/05254687X.rdf,"['La Picola', 'Picola']",[],"['La Picola', 'Picola']"
921,https://www.idref.fr/260322946.rdf,"['Δήλος', 'Λιμάνι', 'Delos', 'Harbour', 'Port', 'Délos']",['Port'],"['Δήλος', 'Λιμάνι', 'Delos', 'Harbour', 'Port', 'Délos']"
922,https://www.idref.fr/191842745.rdf,"['Δήλος', 'Delos', 'Maison aux stucs', 'Délos', 'House of the stuccoes', 'Οικία των Κονιαμάτων']",[],"['Δήλος', 'Delos', 'Maison aux stucs', 'Délos', 'House of the stuccoes', 'Οικία των Κονιαμάτων']"
